,utterance_id,transcript_raw,response_transcript_raw,is_grammatical,labels,transcript_file,child_name,transcript_clean,response_transcript_clean
0,0,my turn it off .,you turn it off .,False,other,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,my turn it off.,you turn it off.
1,1,&is a computer .,it's a computer .,False,"subject, verb",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,a computer.,it's a computer.
2,2,a@p &der press a@p button .,you want to press the button ?,False,"subject, auxiliary, determiner",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,press button.,you want to press the button?
3,3,a@p &na throw it in your eyes .,you're going to throw it in my eyes ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,throw it in your eyes.,you're going to throw it in my eyes?
4,4,somebody touch me .,somebody touched you ?,False,past,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,somebody touch me.,somebody touched you?
5,5,somebody touch me .,I've just touched you now because I was looking at the bruise .,False,past,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,somebody touch me.,I've just touched you now because I was looking at the bruise.
6,6,got any tablets ?,have I got any tablets ?,False,"subject, auxiliary",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,got any tablets?,have I got any tablets?
7,7,blackcurrant juice .,a blackcurrant juice ?,False,determiner,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,blackcurrant juice.,a blackcurrant juice?
8,8,I not need my drink .,you don't need it .,False,auxiliary,data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,I not need my drink.,you don't need it.
9,9,big hug .,you want a big hug ?,False,"subject, verb, determiner",data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-09-03.annotated.cex,thomas,big hug.,you want a big hug?
