,utterance,is_grammatical,labels,note
1827003,[CHI] right here?,1,,
1827004,[CAR] try again.,,,
1827005,[CAR] can you get that out?,,,
1827006,[CHI] yeah.,1,,
1827008,[CAR] there you go.,,,
1827009,[CAR] good boy.,,,
1827010,[CAR] oops!,,,
1827011,[CAR] there you go!,,,
1827012,[CHI] right here.,1,,
1827013,[CAR] oh look!,,,
1827014,[CAR] uhoh.,,,
1827015,[CAR] too big!,,,
1827016,[CAR] take some out.,,,
1827018,[CAR] that's a boy.,,,
1827019,[CAR] there you go.,,,
1827020,[CAR] there!,,,
1827021,[CAR] good one Chuck!,,,
1827022,[CHI] right here?,1,,
1827023,[CAR] try.,,,
1827024,[CAR] uhoh.,,,
1827025,[CAR] what happened?,,,
1827026,[CAR] take one out.,,,
1827027,[CHI] right here?,1,,
1827028,[CAR] oh.,,,
1827029,[CAR] there you go!,,,
1827030,[CHI] oh!,1,,
1827031,[CAR] good boy.,,,
1827032,[CAR] uhoh!,,,
1827033,[CAR] look at that one!,,,
1827034,[CAR] that's really big isn't it?,,,
1827035,[CHI] yeah!,1,,
1827036,[CAR] yeah.,,,
1827037,[CAR] that's a boy.,,,
1827039,[CAR] one more I guess huh?,,,
1827041,[CHI] eh!,1,,
1827042,[CAR] eh.,,,
1827043,[CAR] not quite huh?,,,
1827046,[CHI] right here?,1,,
1827047,[CAR] whoops.,,,
1827048,[CAR] what happened?,,,
1827050,[CAR] look what happened!,,,
1827051,[CHI] again.,1,,
1827052,[CAR] again.,,,
1827053,[CHI] right here.,1,,
1827054,[CHI] right here.,1,,
1827055,[CAR] that's a good way.,,,
1827056,[CHI] ah!,1,,
1827058,[CHI] right here?,1,,
1827059,[CAR] whoops.,,,
1827060,[CAR] got ta take out one huh?,,,
1827062,[CAR] whoops!,,,
1827063,[CAR] what happened?,,,
1827064,[CHI] take it all out.,0,,
1827065,[CAR] you're going to take it all out?,,,
1827066,[CAR] okay.,,,
1827068,[CAR] start from the very beginning?,,,
1827069,[CHI] okay.,1,,
1827070,[CAR] can I show you something with those?,,,
1827071,[CHI] okay!,1,,
1827072,[CAR] okay here.,,,
1827073,[CAR] watch.,,,
1827074,[CAR] I think.,,,
1827075,[CAR] look!,,,
1827076,[CAR] you turn them upside down?,,,
1827077,[CAR] I'm not sure.,,,
1827078,[CHI] and that now.,1,,
1827079,[CAR] no I think there may be one missing.,,,
1827080,[CHI] huh.,1,,
1827081,[CAR] crash crash crash.,,,
1827082,[CAR] play with something else?,,,
1827083,[CHI] okay that.,1,,
1827084,[CAR] okay.,,,
1827085,[CAR] you like that one don't cha?,,,
1827086,[CAR] okay.,,,
1827087,[CAR] bring it over here.,,,
1827088,[CAR] discards objects.,,,
1827089,[CHI] here?,1,,
1827090,[CAR] yeah here!,,,
1827091,[CHI] heavy.,1,,
1827092,[CAR] heavy?,,,
1827093,[CHI] yeah.,1,,
1827094,[CAR] good man.,,,
1827096,[CAR] okay there you go.,,,
1827097,[CAR] it's okay.,,,
1827098,[CAR] show me how you play with that okay?,,,
1827099,[CHI] block!,1,,
1827100,[CHI] where this block.,0,,
1827101,[CAR] yeah you know that one.,,,
1827103,[CAR] block?,,,
1827104,[CHI] yeah.,1,,
1827105,[CHI] ah!,1,,
1827106,[CAR] there you go!,,,
1827107,[CHI] dog.,1,,
1827108,[CHI] doggie.,1,,
1827109,[CHI] doggie.,1,,
1827110,[CHI] doggie.,1,,
1827111,[CHI] where doggie?,0,,
1827112,[CAR] doggie?,,,
1827113,[CAR] where does doggie go?,,,
1827114,[CAR] I guess he goes in there don't you?,,,
1827115,[CHI] yeah.,1,,
1827116,[CAR] yeah.,,,
1827117,[CHI] this go in here.,0,,
1827118,[CAR] that goes in there too.,,,
1827119,[CAR] okay.,,,
1827120,[CAR] there're some funny things in that one aren't there?,,,
1827121,[CAR] okay.,,,
1827123,[CAR] here you go.,,,
1827124,[CHI] here go.,0,,
1827126,[CAR] a green one?,,,
1827127,[CHI] moink.,1,,
1827128,[CHI] more ball.,0,,
1827129,[CAR] a red ball.,,,
1827130,[CHI] boink!,1,,
1827131,[CHI] muh oink!,1,,
1827132,[CAR] moick!,,,
1827133,[CHI] boink!,1,,
1827134,[CAR] moink.,,,
1827135,[CHI] moick!,1,,
1827136,[CHI] oh in here?,1,,
1827137,[CAR] that's cheating.,,,
1827138,[CHI] moick.,1,,
1827139,[CHI] moick.,1,,
1827140,[CAR] moink.,,,
1827141,[CHI] moink.,1,,
1827142,[CHI] moink.,1,,
1827143,[CAR] uhoh.,,,
1827145,[CAR] yep!,,,
1827146,[CAR] she fit in there!,,,
1827147,[CHI] yeah.,1,,
1827148,[CHI] it went in here.,1,,
1827149,[CHI] went in here?,1,,
1827150,[CAR] here try and see if you can get it going in up at the top.,,,
1827152,[CAR] there you go.,,,
1827153,[CAR] that's right.,,,
1827154,[CAR] yeah.,,,
1827155,[CAR] twist it around a little.,,,
1827156,[CAR] okay.,,,
1827157,[CAR] turn it around a little bit more.,,,
1827158,[CAR] there you go.,,,
1827159,[CAR] there you go!,,,
1827160,[CAR] oops.,,,
1827161,[CAR] almost!,,,
1827162,[CAR] almost.,,,
1827163,[CAR] oops!,,,
1827165,[CAR] there.,,,
1827166,[CAR] try again.,,,
1827167,[CAR] almost!,,,
1827168,[CAR] go ahead.,,,
1827169,[CHI] right here?,1,,
