,utterance,is_grammatical,labels,note
1828542,[CAR] what do you have?,,,
1828543,[CHI] twos.,0,,
1828544,[CAR] twos?,,,
1828545,[CAR] two what?,,,
1828546,[CHI] two box.,0,,
1828547,[CAR] two box?,,,
1828548,[CHI] yeah.,1,,
1828549,[CHI] here these are yours.,1,,
1828550,[CAR] these are yours?,,,
1828551,[CHI] these are mine.,1,,
1828552,[CAR] and these are mine huh?,,,
1828553,[CAR] okay.,,,
1828554,[CHI] mine too.,1,,
1828555,[CAR] these are mine too?,,,
1828556,[CHI] these are mine.,1,,
1828557,[CAR] these are mine?,,,
1828558,[CHI] these are mine too.,1,,
1828559,[CAR] okay.,,,
1828560,[CAR] what shall we do with them?,,,
1828562,[CHI] eh out box.,0,,
1828563,[CAR] get it out?,,,
1828564,[CHI] and and these get out.,0,,
1828565,[CHI] and put it in box.,0,,
1828566,[CHI] and here.,1,,
1828567,[CAR] like that?,,,
1828568,[CHI] mhm.,1,,
1828569,[CHI] like that.,1,,
1828571,[CHI] ball.,1,,
1828572,[CAR] in the ball balls?,,,
1828573,[CHI] and and.,1,,
1828574,[CHI] like that.,1,,
1828575,[CHI] and like that.,1,,
1828576,[CAR] like that?,,,
1828577,[CHI] uhhuh.,1,,
1828578,[CAR] there's a lot of them.,,,
1828579,[CHI] know.,1,,
1828580,[CAR] do you know?,,,
1828581,[CAR] now what?,,,
1828582,[CHI] what?,1,,
1828583,[CHI] what?,1,,
1828584,[CAR] what what are you going to do now?,,,
1828585,[CHI] play.,1,,
1828586,[CHI] the peoples want to.,0,,
1828587,[CAR] oh play with the people?,,,
1828588,[CAR] want to?,,,
1828590,[CAR] okay.,,,
1828591,[CHI] okay.,1,,
1828592,[CAR] you put that little box inside these?,,,
1828593,[CHI] yeah.,1,,
1828594,[CAR] okay.,,,
1828595,[CAR] that was fun.,,,
1828596,[CHI] I play with this.,1,,
1828597,[CAR] you want ta play with this?,,,
1828598,[CAR] okay.,,,
1828599,[CAR] what is it?,,,
1828600,[CHI] chicken.,1,,
1828601,[CHI] your.,1,,
1828602,[CAR] is this for me?,,,
1828603,[CAR] he has a hat on.,,,
1828604,[CAR] oh thank you.,,,
1828606,[CAR] what are we supposed to do with them?,,,
1828607,[CAR] what do you want.,,,
1828608,[CAR] oh you put the people in there?,,,
1828609,[CHI] uhhuh!,1,,
1828610,[CAR] you going to fix up the house?,,,
1828611,[CHI] what?,1,,
1828612,[CAR] mine's going to going in the bed.,,,
1828613,[CAR] people's coming in the house.,,,
1828614,[CAR] shut the door.,,,
1828615,[CAR] he's going to bed.,,,
1828616,[CAR] sleep night night.,,,
1828617,[CHI] mine go to bed too.,0,,
1828618,[CAR] where is yours?,,,
1828619,[CHI] in here.,1,,
1828620,[CAR] how'd it get in there?,,,
1828621,[CHI] another one.,1,,
1828622,[CAR] there's another one?,,,
1828623,[CHI] mine go to bed too.,0,,
1828624,[CAR] he goes to bed too?,,,
1828626,[CAR] water.,,,
1828627,[CHI] where are another?,0,,
1828628,[CHI] here.,1,,
1828629,[CAR] where's the other bed?,,,
1828630,[CHI] here it is.,1,,
1828631,[CAR] here it is.,,,
1828632,[CHI] where other chair?,0,,
1828633,[CAR] where's the other chair?,,,
1828634,[CHI] here's here it is.,1,,
1828635,[CHI] here man.,1,,
1828636,[CHI] here.,1,,
1828637,[CHI] mine hat.,0,,
1828638,[CHI] mine hat on.,0,,
1828639,[CAR] you want the hat on?,,,
1828640,[CHI] yes.,1,,
1828641,[CAR] you want me to have the ones with the hat on?,,,
1828642,[CHI] yeah.,1,,
1828643,[CAR] okay.,,,
1828644,[CAR] I'm going to knock on the door.,,,
1828645,[CAR] is anyone going to answer?,,,
1828646,[CAR] everybody's asleep huh?,,,
1828647,[CAR] how did the car get in the house?,,,
1828648,[CHI] what?,1,,
1828649,[CAR] what?,,,
1828652,[CHI] take it out.,1,,
1828653,[CAR] get it out?,,,
1828654,[CAR] do cars belong in houses?,,,
1828655,[CHI] no.,1,,
1828657,[CAR] what.,,,
1828659,[CHI] byebye.,1,,
