,utterance,is_grammatical,labels,note
4274507,[CAR] go follow Liz.,,,
4274508,[CAR] okay.,,,
4274509,[CHI] but mama I need what does where does this go?,0,,
4274510,[CAR] where does that go?,,,
4274511,[CAR] let's see.,,,
4274512,[CAR] where do you think it goes?,,,
4274513,[CHI] it goes right there.,1,,
4274514,[CAR] you think it goes right there?,,,
4274515,[CHI] it goes right.,1,,
4274516,[CAR] yeah.,,,
4274517,[CHI] there.,1,,
4274518,[CHI] I think.,1,,
4274519,[CAR] well let's see.,,,
4274520,[CAR] why don't you put it where you think you want it to go.,,,
4274521,[CAR] oh here's the other pieces I think right?,,,
4274522,[CHI] yeah.,1,,
4274523,[CAR] okay here.,,,
4274524,[CAR] why don't you get all these out and then see where you think they should go.,,,
4274525,[CHI] I gotta call some people okay?,1,,
4274526,[CAR] you're going to call some people?,,,
4274527,[CHI] yeah.,1,,
4274528,[CAR] alright why don't you call some people over at the barn here.,,,
4274529,[CAR] does this go in here?,,,
4274530,[CHI] no.,1,,
4274531,[CAR] how did this get in here?,,,
4274532,[CHI] I don't know.,1,,
4274533,[CAR] does that go in the barn?,,,
4274534,[CHI] yeah.,1,,
4274535,[CHI] because they're hungry.,1,,
4274536,[CAR] because they're hungry?,,,
4274537,[CAR] oh.,,,
4274538,[CAR] do you think that's going to be enough to feed all of them?,,,
4274539,[CAR] okay.,,,
4274540,[CAR] let's see.,,,
4274541,[CAR] ready?,,,
4274542,[CHI] hello.,1,,
4274543,[CAR] should we put this together?,,,
4274544,[CHI] hello.,1,,
4274545,[CHI] okay.,1,,
4274546,[CAR] here Childsname I'll show you how.,,,
4274547,[CAR] how about if I show you how I think it should go together and then.,,,
4274548,[CAR] okay.,,,
4274549,[CAR] remember that one book that we have?,,,
4274550,[CAR] the barnyard animals.,1,,
4274551,[CHI] yeah.,1,,
4274552,[CAR] and they all go to sleep.,,,
4274553,[CHI] yeah.,1,,
4274554,[CAR] this kinda looks like it because there's a lot of animals in here.,,,
4274555,[CAR] should we make a little pen?,,,
4274556,[CAR] can you get me the other piece?,,,
4274557,[CHI] yeah.,1,,
4274558,[CAR] where do you think it goes?,,,
4274559,[CHI] goes here.,0,,
4274560,[CAR] does it fit in there?,,,
4274561,[CHI] can put it on?,0,,
4274562,[CAR] do you wanna try?,,,
4274563,[CHI] mhm.,1,,
4274564,[CAR] okay.,,,
4274565,[CAR] is your nose all stuffy again?,,,
4274566,[CAR] okay.,,,
4274567,[CAR] what do you think should go in there?,,,
4274568,[CAR] what should we do?,,,
4274569,[CHI] she is going there.,1,,
