,utterance,is_grammatical,labels,note
2100618,[CHI] put them on that.,1,,
2100619,[CAR] that needs to go in the bin I think.,,,
2100620,[CAR] just pop them all back and then we can get your cards.,,,
2100622,[CHI] baby one.,1,,
2100623,[CHI] baby one.,1,,
2100624,[CAR] oh.,,,
2100625,[CAR] little baby ones.,,,
2100626,[CHI] baby ones.,1,,
2100627,[CHI] I put a baby one in there.,1,,
2100628,[CAR] yes.,,,
2100629,[CAR] are you going to help mummy finish off?,,,
2100630,"[CAR] I don't think those go in there, do they?",,,
2100631,[CAR] I think we can put those in.,,,
2100632,[CAR] right.,,,
2100633,[CAR] let's go and get those let's wipe the table and get those cards.,,,
2100634,[CHI] yes!,1,,
2100635,[CHI] no.,1,,
2100636,[CHI] I will get cards.,1,,
2100637,[CHI] I will get cards.,1,,
2100639,[CAR] wipe the table please.,,,
2100640,[CAR] alright?,,,
2100641,[CHI] dropped it.,0,,
2100642,[CAR] shall we dry it.,,,
2100645,[CAR] pop them in the box then.,,,
2100646,[CAR] oh.,,,
2100647,[CAR] put them in the box.,,,
2100648,[CHI] can't find the box.,0,,
2100649,[CAR] it's on the floor.,,,
2100650,[CAR] there.,,,
2100651,[CAR] okay.,,,
2100652,[CAR] right.,,,
2100653,[CHI] come on.,1,,
2100654,[CHI] cards.,1,,
2100655,[CAR] right.,,,
2100656,[CHI] right.,1,,
2100657,[CAR] now.,,,
2100658,[CAR] what what have we got to find?,,,
2100659,[CAR] wanna find a word beginning with Inky Ink Annie apple or Clever Cat?,,,
2100660,[CAR] okay?,,,
2100661,[CHI] Clever Cat.,1,,
2100662,[CAR] okay.,,,
2100663,[CAR] so you tell me.,,,
2100664,[CAR] is that an Inky Ink?,,,
2100665,[CAR] is that one of those?,,,
2100666,[CAR] no.,,,
2100667,[CAR] that one?,,,
2100668,[CAR] no.,,,
2100669,[CAR] that one?,,,
2100671,[CAR] I'll find one for you first of all.,,,
2100672,[CAR] right.,,,
2100673,[CAR] no.,,,
2100674,[CAR] more r.,,,
2100675,[CAR] I think we've got the wrong end here.,,,
2100679,[CAR] what's this?,,,
2100680,[CHI] Annie apple.,1,,
2100681,[CAR] Annie apple.,,,
2100682,[CAR] do you know what they are?,,,
2100683,[CAR] what are they?,,,
2100684,[CHI] arrows.,1,,
2100685,[CAR] arrows.,,,
2100686,[CAR] yes.,,,
2100687,[CAR] because the word arrows that's the word arrows and that begins with a.,,,
2100688,[CHI] Annie apple.,1,,
2100689,[CAR] Annie apple.,,,
2100690,[CAR] do you wanna color the arrows?,,,
2100691,[CAR] with your crayons or the pencils?,,,
2100692,[CAR] that one?,,,
2100693,[CAR] okay.,,,
2100694,[CAR] alright?,,,
2100695,[CHI] there.,1,,
2100696,[CAR] there.,,,
2100697,[CAR] right.,,,
2100698,[CAR] shall we find something else?,,,
2100699,[CHI] can you find Annie apple?,1,,
2100700,[CAR] I'm going to.,,,
2100702,[CAR] do you know what this is?,,,
2100703,[CHI] yes.,1,,
2100704,[CHI] Impy Ink.,1,,
2100705,[CAR] no.,,,
2100706,[CAR] it hasn't got a dot on the top.,,,
2100707,[CAR] do you remember?,,,
2100708,[CAR] l.,,,
2100709,[CHI] no.,1,,
2100710,[CAR] Lucy Lamp.,,,
2100711,[CHI] Lucy Lamp.,1,,
2100712,[CAR] Lucy Lamplady.,,,
2100713,[CAR] there's a lamp.,,,
2100714,[CAR] do you wanna color that in?,,,
2100715,[CAR] I think that should be blue.,,,
2100716,[CAR] yes?,,,
2100717,[CAR] you find the blue.,,,
2100718,[CHI] I've got blue.,1,,
2100719,[CAR] right.,,,
2100720,[CAR] color the lamp in then.,,,
