,utterance,is_grammatical,labels,note
3328406,[CAR] what are you doing?,,,
3328407,[CHI] e.,1,,
3328408,[CHI] a for ant.,1,,
3328409,[CAR] is that what you did at school today?,,,
3328410,[CHI] yeah.,1,,
3328411,[CAR] a for?,,,
3328412,[CHI] ant.,1,,
3328413,[CAR] a for ant.,,,
3328414,[CAR] did you enjoy it?,,,
3328415,[CAR] do you not wanna go back to your you can go back to your nursery if you want.,,,
3328416,[CHI] no.,1,,
3328417,[CAR] sure?,,,
3328418,[CHI] no.,1,,
3328419,[CAR] you can go don't you wanna stay at your new school now?,,,
3328420,[CHI] yeah.,1,,
3328421,[CAR] sure?,,,
3328422,[CAR] why do you like doing that?,,,
3328423,[CHI] yeah.,1,,
3328424,[CHI] I do.,1,,
3328425,"[CAR] take your shoes off, darling.",,,
3328426,[CHI] I'm going to put my new shoes.,1,,
3328427,[CHI] there.,1,,
3328428,[CHI] those.,1,,
3328429,[CHI] mhm.,1,,
3328430,"[CAR] sorry, darling?",,,
3328431,[CHI] I'm going to put my new slippers on.,1,,
3328432,[CAR] did you have a nice time then?,,,
3328433,[CAR] did you make some new friends?,,,
3328434,[CHI] yes.,1,,
3328435,[CAR] was Alyssa there today?,,,
3328436,[CHI] no.,1,,
3328437,[CAR] no?,,,
3328438,[CAR] not again?,,,
3328439,[CHI] no.,1,,
3328440,[CAR] why's he not there?,,,
3328442,[CHI] he's coming on Saturday.,1,,
3328443,[CAR] so what else did you learn at your new school?,,,
3328444,[CAR] why don't you go back to your nursery?,,,
3328445,[CHI] no.,1,,
3328446,[CAR] no?,,,
3328447,[CAR] you wanna stay in your new school?,,,
3328448,[CHI] yes.,1,,
3328449,[CAR] is it nice?,,,
3328450,[CHI] yes.,1,,
3328451,[CAR] oh.,,,
3328452,[CAR] I'm glad you like your new school.,,,
3328453,[CAR] I missed you.,,,
3328454,[CAR] I miss my baby when she goes to school.,,,
3328455,[CAR] I do.,,,
3328456,[CAR] I miss her so much.,,,
3328458,[CAR] and what else?,,,
3328459,[CAR] you tell me what else you learnt today?,,,
3328461,[CAR] mhm?,,,
3328462,[CAR] nothing?,,,
3328463,[CAR] because Mrs Mrs Christopher will wanna know what you learnt.,,,
3328464,[CHI] learnt to read.,0,,
3328465,[CAR] you learnt to read?,,,
3328466,[CAR] what how what did they do?,,,
3328469,[CAR] sorry?,,,
3328470,[CHI] had funny dinner.,0,,
3328471,[CHI] do you know do you know do you know that boy?,1,,
3328472,[CAR] which one?,,,
3328473,[CAR] what was his name?,,,
3328474,[CHI] he was swinging on his chair.,1,,
3328475,[CAR] and?,,,
3328476,[CHI] he fall down and his cry.,0,,
3328477,[CAR] oh no.,,,
3328478,[CAR] so what did the teacher say?,,,
3328479,[CHI] don't do that again.,1,,
3328480,[CHI] she get very cross.,0,,
3328481,[CAR] was that what they said?,,,
3328482,[CAR] you don't swing on your chair do you?,,,
3328483,[CHI] no.,1,,
3328484,[CHI] I don't at school.,1,,
3328485,[CAR] oh no.,,,
3328486,[CAR] and what did Mrs Mrs Grace did she do the register today?,,,
3328487,[CHI] yes.,1,,
3328488,[CAR] and what did she say?,,,
3328489,[CHI] Eleanor Eleanor Michael.,1,,
3328490,[CAR] Eleanor Eleanor Michael.,,,
3328491,[CAR] and what did Eleanor say?,,,
3328492,"[CHI] yes, Mrs Mrs Grace.",1,,
3328493,[CAR] good girl.,,,
3328494,[CAR] you're a clever girl.,,,
3328495,[CAR] aren't you a bit warm?,,,
3328496,[CAR] let let me take this.,,,
3328497,[CAR] oh.,,,
3328498,[CAR] Eleanor.,,,
3328499,[CAR] what have you got on there?,,,
3328501,[CAR] you know what?,,,
3328502,[CAR] I wanna show I wanna show Dada your summer dress because I think it's a bit big.,,,
3328503,[CAR] so if you stand up quickly we can show him how what it looks like.,,,
3328504,[CHI] no.,1,,
3328505,[CAR] well.,,,
3328506,[CAR] then you won't be able to because you have to wear a summer dress next week.,,,
3328507,[CHI] this my bottom.,0,,
3328508,[CHI] my bottom.,1,,
3328509,[CHI] this my bottom.,0,,
3328510,[CAR] bottom?,,,
3328511,[CHI] yeah.,1,,
