,utterance,is_grammatical,labels,note
3384103,[CAR] is Fraser warm?,,,
3384104,[CHI] a big big rainbow.,1,,
3384105,[CAR] a big big what?,,,
3384106,[CHI] a big big rainbow.,1,,
3384107,[CAR] yes it's a big rainbow isn't it?,,,
3384108,[CHI] sun come out.,0,,
3384109,[CAR] and the sun's come out.,,,
3384110,"[CHI] oh, rain.",1,,
3384111,"[CAR] what is it, darling?",,,
3384112,[CHI] rain.,1,,
3384113,[CAR] rain?,,,
3384114,[CHI] cloud.,1,,
3384115,[CAR] clouds.,,,
3384116,[CHI] Steve.,1,,
3384117,[CAR] who's that?,,,
3384118,[CHI] Steve.,1,,
3384119,[CAR] Steve!,,,
3384120,[CAR] that's right.,,,
3384121,[CAR] Steve the Monkey isn't it?,,,
3384122,[CHI] Steve the monkey.,1,,
3384123,[CAR] and who's that?,,,
3384124,[CHI] Spot.,1,,
3384125,[CAR] it's Spot.,,,
3384126,[CHI] Helen.,1,,
3384127,[CAR] what?,,,
3384128,[CHI] Helen.,1,,
3384129,[CAR] Helen?,,,
3384130,[CHI] yes.,1,,
3384131,[CAR] let's have a look.,,,
3384132,[CHI] that.,1,,
3384133,[CAR] oh you're right.,,,
3384134,[CAR] it's Helen.,,,
3384135,[CAR] Helen the Hippo.,,,
3384136,[CHI] Helen the hippo.,1,,
3384137,[CAR] yes.,,,
3384138,[CHI] Helen.,1,,
3384139,[CAR] Helen.,,,
3384140,[CHI] pooed?,0,,
3384141,[CAR] no you haven't have you?,,,
3384142,[CAR] nope.,,,
3384143,[CHI] nope.,1,,
3384144,[CAR] nope.,,,
3384145,[CAR] shall we read this book?,,,
3384146,[CAR] it's very warm.,,,
3384147,[CAR] turn the heating the heating's up.,,,
3384148,[CHI] read it book.,0,,
3384149,[CAR] shall we read this book?,,,
3384150,[CHI] yes.,1,,
3384151,[CAR] what shall we read?,,,
3384152,[CAR] what story do you want?,,,
3384153,[CHI] Spot.,1,,
3384154,[CAR] I know this is all Spot.,,,
3384155,[CAR] let's read this one with the rainbow shall we?,,,
3384156,[CHI] story?,1,,
3384157,[CAR] this is Spot goes Splash.,,,
3384158,[CAR] it was raining when Spot woke up.,,,
3384159,[CAR] oh dear he thought I'll have to stay indoors.,,,
3384160,[CAR] I wonder what Steve and Helen are doing today.,,,
3384161,[CAR] look it's raining outside isn't it?,,,
3384162,[CHI] look rain outside?,0,,
3384163,[CAR] yes.,,,
3384164,[CAR] look he's got a picture on his wall hasn't he?,,,
3384165,[CAR] what's he got a picture of?,,,
3384166,[CHI] a boat.,1,,
3384167,[CAR] a boat.,,,
3384168,[CAR] breakfast is ready Sally called from the kitchen.,,,
3384169,[CAR] Spot loved breakfast.,,,
3384170,[CAR] he forgot all about the rain.,,,
3384171,[CAR] what's he doing there?,,,
3384172,[CHI] et know.,0,,
3384173,[CHI] pieces.,1,,
3384174,[CAR] pieces?,,,
3384175,[CHI] yeah.,1,,
3384176,[CAR] he's having his breakfast isn't he?,,,
3384177,[CHI] breakfast?,1,,
3384179,[CAR] after he finished.,,,
3384180,[CHI] a mess!,1,,
3384181,[CAR] has he made a mess?,,,
3384182,[CHI] yeah.,1,,
3384183,"[CAR] oh, Spot, you've made a mess.",,,
3384184,[CAR] after he'd finished eating Spot looked outside again.,,,
3384185,[CAR] oh good he said it's stopped raining.,,,
3384187,[CAR] can I go outside and played Mum?,,,
3384188,[CAR] alright Sally told him but don't get all wet and muddy.,,,
