,utterance,is_grammatical,labels,note
3805717,"[CHI] and minx, Mum.",1,,
3805718,[CAR] yeah.,,,
3805719,[CAR] well minx only has very little hairs.,,,
3805720,[CAR] Tula's hairs come out.,,,
3805721,[CAR] they're on the rug aren't they?,,,
3805722,[CAR] it needs a good hoovering.,,,
3805723,[CHI] how many times have I fell over?,0,,
3805724,[CAR] you've fell over about twenty times in the last few days.,,,
3805725,[CAR] don't know what's wrong with ya.,,,
3805726,[CHI] I'm a little bit silly.,1,,
3805727,[CAR] do you think so?,,,
3805728,[CHI] yeah.,1,,
3805729,"[CHI] Mum, look.",1,,
3805730,[CHI] I can make a little tent.,1,,
3805731,"[CHI] look, Mum.",1,,
3805732,[CAR] oh yeah.,,,
3805733,[CHI] look what I can do.,1,,
3805734,[CAR] I need my sunglasses.,,,
3805735,[CAR] I can't even see with that sunshine shining in.,,,
3805736,[CHI] look.,1,,
3805737,[CHI] what are you looking for?,1,,
3805738,[CAR] I'm just looking for the lids of this other pen.,,,
3805739,[CAR] right.,,,
3805740,[CAR] let me see if I can write your name in glitter.,,,
3805741,[CAR] are you going to come and try with me?,,,
3805742,[CHI] no because I'm cold.,1,,
3805743,[CHI] do it over here.,1,,
3805744,[CAR] one.,,,
3805745,[CAR] let me just see if it works.,,,
3805746,[CAR] don't know if the glitter will come out.,,,
3805747,[CAR] I know what it needs.,,,
3805748,[CHI] I'll come over if it comes out.,1,,
3805749,[CAR] let me just get.,,,
3805750,[CAR] it needs a pin sticking in it.,,,
3805751,[CAR] to unblock it.,,,
3805752,[CHI] alright.,1,,
3805753,[CAR] there that should stop it being blocked there.,,,
3805754,[CHI] alright.,1,,
3805755,[CHI] I'm all snuggled.,1,,
3805756,[CHI] yay!,1,,
3805757,[CHI] it works!,1,,
3805758,[CAR] oh.,,,
3805759,[CHI] you don't need a lot.,1,,
3805760,[CAR] I'm going to draw some flowers for Nanny and Pappy.,,,
3805761,[CAR] we'll leave it in the sunshine to dry.,,,
3805762,[CAR] we could say oh we've got ya some flowers can't we?,,,
3805763,[CHI] yeah.,1,,
3805764,[CHI] but they're not really flowers are they?,1,,
3805765,[CAR] no.,,,
3805766,[CAR] just pretendy ones.,,,
3805767,[CHI] yeah.,1,,
3805768,[CHI] they're only picture ones aren't they?,1,,
3805769,[CAR] yeah.,,,
3805770,[CHI] can I have the lids?,1,,
3805771,[CAR] yeah.,,,
3805772,[CHI] do they have these on flowers?,1,,
3805773,[CAR] yeah.,,,
3805774,[CHI] you've shown me how to make a a flower haven't ya?,1,,
3805775,[CAR] move your head back.,,,
3805776,[CAR] I can't see what I'm doing.,,,
3805777,[CHI] right.,1,,
3805778,[CHI] I'll do one now.,1,,
3805779,[CHI] will you make.,1,,
3805780,[CAR] should we should we what should we write on it?,,,
3805781,[CAR] should we write love you.,,,
3805783,[CAR] shall we write love you?,,,
3805784,[CHI] no this one.,1,,
3805785,[CAR] okay.,,,
3805786,[CAR] but shall we write love you in the in the pen?,,,
3805787,[CHI] yeah.,1,,
3805788,"[CHI] Mummy, I'm right over it.",1,,
3805789,[CHI] okay?,1,,
3805790,[CAR] right.,,,
3805791,"[CAR] move out the way, darling.",,,
3805792,[CAR] I can't see what I'm doing.,,,
3805793,[CAR] I'm doing it for you now.,,,
3805794,[CAR] I wonder if this one's blocked up as well.,,,
3805795,[CAR] shall we stick the pin in it and see?,,,
3805796,[CAR] oh no it's alright that one.,,,
3805797,[CAR] shall we draw a heart?,,,
3805798,[CHI] yeah.,1,,
3805799,[CAR] oh.,,,
3805801,[CHI] alright.,1,,
3805802,[CHI] yeah!,1,,
3805803,[CAR] yeah.,,,
3805804,[CAR] that's good isn't it?,,,
3805805,[CHI] yeah.,1,,
3805806,[CHI] somebody's done a pump.,1,,
3805807,[CHI] it's you.,1,,
3805808,[CAR] I have not.,,,
3805809,[CHI] you have.,1,,
3805810,[CAR] is it you you little Tigger?,,,
3805811,[CHI] no.,1,,
3805812,[CHI] it's.,1,,
3805813,[CAR] there that's a nice picture isn't it?,,,
3805814,[CHI] yes.,1,,
3805815,[CAR] let's put that carefully on the table to dry.,,,
3805816,[CHI] can I will you show me.,1,,
3805817,[CAR] right it's Gina's turn now.,,,
3805818,[CHI] me.,1,,
3805819,[CHI] will you show me how to do it?,1,,
3805820,[CAR] move your coat out the way.,,,
3805821,[CHI] but it's my coat.,1,,
3805822,[CHI] I'm sitting on it because I'm cold.,1,,
3805823,[CHI] will you show me how to do one?,1,,
3805824,[CAR] yeah.,,,
3805825,[CHI] with.,1,,
3805826,[CAR] here ya are.,,,
3805827,[CAR] go like that.,,,
3805830,[CAR] keep it like that.,,,
3805831,[CAR] draw on that one.,,,
3805832,[CHI] with.,1,,
3805833,[CAR] don't elbow me out the way.,,,
3805834,[CHI] I wasn't.,1,,
3805835,[CHI] with.,1,,
3805836,[CAR] here ya are.,,,
3805837,[CAR] what if I draw the green stems of the flower and then you draw the heads of the flower?,,,
3805838,[CHI] okay.,1,,
3805839,[CAR] draw you three.,,,
3805840,[CAR] going like this.,,,
3805841,[CAR] there's one.,,,
3805842,[CAR] two.,,,
3805843,[CAR] three.,,,
3805844,[CAR] leaves.,,,
3805845,[CHI] I think you've done a pump.,1,,
3805846,[CAR] I haven't done a pump at all.,,,
3805847,[CHI] you have.,1,,
3805848,[CAR] I think you're being rude actually.,,,
3805849,[CHI] no I'm not.,1,,
3805850,[CAR] right.,,,
3805851,[CAR] what color you doing your flowers?,,,
3805852,[CAR] oh that'd be a nice one.,,,
3805853,[CAR] pink ones.,,,
3805854,[CHI] I think it's blocked up.,1,,
3805855,"[CAR] you have to press it so hard, Gina.",,,
3805856,[CAR] keep squeezing.,,,
3805857,[CAR] hang on a minute.,,,
3805858,[CAR] wait.,,,
3805859,[CAR] let me let me help you a second.,,,
3805860,[CAR] we need it all down there.,,,
3805861,[CAR] all the glitter.,,,
3805862,[CAR] right.,,,
3805863,[CAR] I squeeze it at the top you squeeze it at the bottom.,,,
3805864,[CAR] that's it.,,,
3805865,[CAR] press it.,,,
3805866,[CAR] hard.,,,
3805867,[CAR] yeah.,,,
