,utterance,is_grammatical,labels,note
341513,[CAR] chips.,,,
341514,[CHI] yeah.,1,,
341515,[CAR] yeah.,,,
341516,[CHI] mm.,1,,
341517,[CHI] yum.,1,,
341518,[CAR] yummy.,,,
341519,[CAR] okay.,,,
341520,[CAR] let's add our flour in.,,,
341521,[CHI] mommy?,1,,
341522,[CAR] uhuh?,,,
341523,[CHI] can I have some donuts and chocolate chips?,1,,
341524,[CAR] yeah you havta help me pour those so come over here.,,,
341525,[CAR] bring the chocolate chips.,,,
341526,[CHI] where are they?,1,,
341527,[CAR] we put them up on the counter.,,,
341528,[CAR] okay.,,,
341529,[CAR] now.,,,
341530,[CAR] let's have you right up here.,,,
341532,[CAR] ah.,,,
341533,[CAR] okay.,,,
341534,[CAR] let's mix some of our flour in.,,,
341535,[CAR] make sure it doesn't spin around too much.,,,
341536,[CAR] stay in the bowl.,,,
341537,[CAR] stay in the bowl.,,,
341538,[CHI] they're going to be hot in the oven.,1,,
341539,[CAR] mhm.,,,
341540,[CAR] okay let's open these up.,,,
341543,[CAR] okay here's what you're going to do.,,,
341544,[CAR] you're going to pour those chips in.,,,
341545,[CAR] huh great.,,,
341546,[CAR] pour pour pour pour pour pour pour.,,,
341547,[CAR] okay let's see if that's enough or if we need more.,,,
341548,[CHI] can I eat some?,1,,
341549,[CAR] you can have a couple.,,,
341550,[CAR] because he rest are going to go in let's pour some more in.,,,
341552,[CAR] pour pour pour pour pour pour pour pour pour pour pour.,,,
341553,[CHI] mommy?,1,,
341554,[CAR] uhuh?,,,
341555,[CHI] I want some.,1,,
341556,[CHI] a couple.,1,,
341557,[CHI] a couple a couple left?,0,,
341558,[CAR] have a couple here you go.,,,
341559,[CHI] mom is it empty now?,1,,
341560,[CAR] it's empty now yup.,,,
341561,[CAR] okay.,,,
341562,[CAR] ooh.,,,
341563,[CAR] look at that.,,,
341564,[CAR] is that exciting?,,,
341565,[CAR] are we going to bake our cookies?,,,
341567,[CAR] our sheet pan is a little dirty.,,,
341568,[CAR] let's check our other sheet pan.,,,
341569,[CAR] I'll clean this one off.,,,
341570,[CAR] okay.,,,
341571,[CAR] put a little foil down whada you think?,,,
341572,[CAR] okay.,,,
341573,[CAR] wanna help me put the dough on the pan?,,,
341574,[CHI] I want too.,1,,
341575,[CAR] really well first we have to put them in the pan right?,,,
341577,[CHI] I don't wanna help.,1,,
341578,[CAR] huh what?,,,
341580,[CAR] if you don't help you can't eat the dough.,,,
341581,[CAR] you can only eat a bite of dough if you help.,,,
341582,[CAR] that's the rule.,,,
341583,[CAR] come over here look.,,,
341584,[CAR] I'll put it down here.,,,
341585,[CAR] okay.,,,
341586,[CHI] me help.,0,,
341587,[CAR] alright.,,,
341588,[CAR] now you have to squeeze this like this.,,,
341589,[CAR] squeeze.,,,
341590,[CAR] there we go.,,,
341591,[CAR] great.,,,
341592,[CAR] you wanna try a bite?,,,
341594,[CAR] okay little bite nah that's too big.,,,
341595,[CAR] here.,,,
341596,[CHI] mom I want some in a bowl.,1,,
341597,[CAR] in a bone?,,,
341598,[CAR] ooh my hand.,,,
341599,[CAR] whada you think?,,,
341600,[CHI] mm.,1,,
341601,[CAR] was it good?,,,
341602,[CHI] mhm.,1,,
341603,[CAR] okay hang on.,,,
341605,[CAR] did my microphone fall off?,,,
341606,[CAR] let me put it back on.,,,
341607,[CHI] me.,1,,
341608,[CAR] sweetie pie.,,,
341609,[CAR] let me give you a little bite okay?,,,
341610,[CAR] I'll put a little bite in a bowl.,,,
341612,[CAR] mm okay.,,,
341614,[CAR] alright.,,,
341615,[CAR] maybe wanna well okay.,,,
341616,[CAR] come back here.,,,
341617,[CAR] okay you havta stay in the kitchen and help me for a minute.,,,
341618,[CAR] wee.,,,
341619,[CHI] mm.,1,,
341620,[CAR] mm.,,,
341621,[CHI] mm.,1,,
341622,[CAR] mm chocolate.,,,
341623,[CAR] who loves chocolate?,,,
341624,[CHI] me.,1,,
341625,[CAR] you?,,,
341626,[CAR] really?,,,
341627,[CHI] yeah and you.,1,,
341628,[CAR] me?,,,
341629,[CHI] mhm.,1,,
341630,[CAR] that's true.,,,
341631,[CAR] I love chocolate.,,,
341632,[CAR] it's so true.,,,
341633,[CAR] who loves chocolate more mommy or Lily?,,,
341634,[CHI] mommy.,1,,
341635,[CAR] ah that's probably right.,,,
341636,[CAR] mommy loves chocolate.,,,
341637,[CAR] okay we're almost done with these.,,,
341638,[CAR] and then we'll put them in the oven.,,,
341639,[CAR] and let them bake.,,,
341640,[CAR] that would be tasty.,,,
341641,[CAR] oops.,,,
341642,[CAR] and then you can have one later for dessert after dinner.,,,
341643,[CAR] whada you think?,,,
341644,[CAR] good?,,,
341645,[CAR] mhm.,,,
341647,[CAR] okay.,,,
341649,[CAR] okay.,,,
341650,[CAR] let's put the rest of the this in the fridge.,,,
341651,[CAR] let's see if we have room in the fridge.,,,
341652,[CAR] ooh.,,,
341653,[CAR] I havta shift things around a little bit.,,,
341654,[CAR] there we go.,,,
341655,[CAR] good.,,,
