,utterance,is_grammatical,labels,note
543099,"[OTH] okay, go on the sidewalk, let me see.",,,
543100,[OTH] who's that?,,,
543102,"[CAR] well this door's right, it's open you can go there, whatever you wanna do.",,,
543103,[OTH] okay.,,,
543104,[OTH] thanks.,,,
543105,[CHI] all done.,1,,
543106,[OTH] all done?,,,
543107,[OTH] okay.,,,
543108,[CHI] slide.,1,,
543109,"[CAR] yeah, you're going to go on the slide?",,,
543112,"[CAR] William, why don't you stay outside with mommy?",,,
543113,[CHI] watch.,1,,
543114,[CHI] go up.,0,,
543115,"[CAR] I'm going to go get a paper towel, and wipe off the slide okay?",,,
543116,[CHI] go up the slide.,0,,
543117,"[CAR] well, I guess you're wiping off the slide for me huh.",,,
543118,[CHI] I did it.,1,,
543119,[CAR] yeah you did do it.,,,
543120,[CAR] hold on.,,,
543121,"[CAR] we did, now we get to.",,,
543122,"[CAR] whoa, now we're really going to have to clean those pants huh?",,,
543123,"[CAR] a few more minutes I could have, cleaned off the slide for ya.",,,
543124,[CAR] oh well.,,,
543125,[CAR] we'll just have to change your pants.,,,
543126,[CHI] oh no.,1,,
543127,[CAR] oh no.,,,
543128,"[CAR] did ya do it, did ya get the basket in?",,,
543129,"[CAR] alright, good job!",,,
543130,[CHI] let's go get them.,1,,
543131,"[CAR] okay, well let's go let's play basketball.",,,
543132,[CHI] no.,1,,
543133,"[CAR] no, how come?",,,
543134,[CHI] let's play baseball.,1,,
543136,[CAR] what honey?,,,
543137,[CHI] a piece.,1,,
543138,[CAR] oh okay.,,,
543139,[CHI] hey my hat.,1,,
543140,"[CAR] yeah, and look at your shoes are all nice and wet too we're going to have to just, completely change you aren't we?",,,
543141,"[CAR] okay, that's fine.",,,
543142,[CHI] mommy.,1,,
543143,[CAR] yes William?,,,
543144,[CAR] here you go.,,,
543145,[CHI] no.,1,,
543146,[CAR] what do ya mean no?,,,
543147,[CHI] uhoh.,1,,
543148,[CAR] this all goes together.,,,
543149,[CHI] oh.,1,,
543150,[CHI] wanna play catch.,0,,
543151,[CHI] wanna play catch.,0,,
543152,"[CAR] oh, well mommy mommy has to finish this, survey William.",,,
543153,[CAR] here.,,,
543154,[CHI] I don't.,1,,
543155,[CAR] please keep your hat on it's cool outside.,,,
543156,[CHI] I don't like it.,1,,
543157,[CAR] you don't like it?,,,
543158,[CHI] yes.,1,,
543159,"[CAR] okay, well how bout we put your hood on then?",,,
543160,[CHI] ooh.,1,,
543161,[CAR] William what are you doing?,,,
543162,[CHI] hey?,1,,
543163,[CHI] hey.,1,,
543164,[CHI] what's wrong?,1,,
543165,[CHI] what's wrong?,1,,
543166,[CHI] what's wrong?,1,,
543168,[OTH] oh nothing you go play with mom okay.,,,
543169,[CAR] come on William you said you wanted to go outside.,,,
543170,[CAR] come on we'll play catch.,,,
543171,[CHI] let's play catch.,1,,
543172,"[CAR] come on, mommy'll play catch with you.",,,
543173,[CHI] let's play catch.,1,,
543174,[CHI] catch.,1,,
543175,[OTH] go ahead mom wants to play.,,,
543177,[CHI] let's go play.,1,,
543178,[CAR] okay.,,,
543179,[CHI] let's play catch.,1,,
543180,[CAR] okay let's.,,,
543181,[CHI] a baseball.,1,,
543182,"[CAR] okay, you wanna play catch with the baseball?",,,
543183,[CHI] let's.,1,,
543184,[CAR] okay let's play over here.,,,
543186,"[CAR] because the grass is wet, so let's just, play over here.",,,
543187,[CAR] okay?,,,
543188,[CHI] catch.,1,,
543189,[CHI] catch.,1,,
543190,[CHI] catch Mommy.,1,,
543191,"[CAR] okay William, lemme see.",,,
543192,"[CAR] alright, come on over this way.",,,
543193,[CHI] catch.,1,,
543194,"[CAR] come on, we'll play catch over here.",,,
543195,[CHI] no.,1,,
543196,[CAR] yeah.,,,
543197,[CAR] there's more room.,,,
543198,[CHI] no.,1,,
543199,"[CHI] I wanna play catch, catch.",1,,
543200,[CAR] I want you to play catch too but I just this.,,,
543201,[CHI] no catch.,1,,
543202,"[CAR] oh, is that the way to speak to mommy?",,,
543203,[CHI] yes.,1,,
543204,[CAR] it is?,,,
543205,[CHI] yes.,1,,
543206,"[CAR] that's news, to me.",,,
543207,[CAR] why don't you stand here?,,,
543208,[CAR] okay you ready?,,,
543209,[CHI] yes.,1,,
543210,[CAR] good job.,,,
