,utterance,is_grammatical,labels,note
1228025,[CAR] well I thought you might like to.,,,
1228026,[CHI] oh let's not do any work yet.,1,,
1228028,[CHI] oh no.,1,,
1228029,[CHI] not working.,0,,
1228030,[CAR] well working if you can possibly do it.,,,
1228032,[CAR] should be fun.,,,
1228033,[CAR] won't know that you're working.,,,
1228034,[CAR] shouldn't it?,,,
1228035,[CHI] oh yeah I'm concentrating.,1,,
1228036,[CAR] you're concentrating?,,,
1228037,[CHI] yeah.,1,,
1228038,[CHI] look what I've got.,1,,
1228039,[CAR] yes.,,,
1228040,"[CAR] well what I thought we'd do, Thomas.",,,
1228041,[CAR] we've got.,,,
1228042,[CAR] I've brought down.,,,
1228043,[CHI] mhm.,1,,
1228044,[CAR] quite a lot of cake decoration books.,,,
1228045,[CHI] mhm.,1,,
1228046,[CAR] and shall we have a look though them.,,,
1228047,[CHI] mhm.,1,,
1228048,[CAR] and then on your drawing board.,,,
1228049,[CAR] I thought we could draw some cakes.,,,
1228050,[CAR] I'm just pouring myself a cup of tea first.,,,
1228051,[CHI] I know what.,1,,
1228052,[CHI] we could do special ones.,1,,
1228053,[CHI] in in the cart lands.,1,,
1228054,[CHI] and it could be raining cakes.,1,,
1228055,[CAR] raining cakes?,,,
1228056,[CAR] it's certainly raining alright.,,,
1228057,[CAR] it's not raining cakes.,,,
1228058,[CAR] but it's raining outside isn't it?,,,
1228059,[CHI] look.,1,,
1228060,[CHI] I've filled you up.,1,,
1228062,[CAR] oh you know what's playing up again?,,,
1228063,[CHI] yeah I think I do.,1,,
1228064,[CAR] this orange light.,,,
1228065,[CAR] why is it every time?,,,
1228066,[CHI] start from again.,1,,
1228067,[CAR] problem with it don't we?,,,
1228068,[CHI] yep.,1,,
1228069,[CHI] there is so much wedding cakes you can have.,0,,
1228070,[CAR] I know.,,,
1228071,[CAR] I'm going to just let you tighten this up.,,,
1228072,[CAR] and then I'll come and sit with you.,,,
1228073,[CAR] and have have a look at.,,,
1228074,[CAR] we've got quite a box.,,,
1228075,[CHI] jump.,1,,
1228076,[CAR] oh yes.,,,
1228077,[CAR] is that a teddy bear cake?,,,
1228079,[CHI] ah let's choose this one.,1,,
1228080,[CHI] this one shows you nothing.,1,,
1228081,[CHI] does it?,1,,
1228082,"[CHI] look, Mum.",1,,
1228083,"[CHI] look, Mum.",1,,
1228084,[CHI] you know it's flowers here?,1,,
1228085,[CAR] well I can't.,,,
1228086,"[CAR] just a minute, Thomas.",,,
1228087,"[CHI] Mummy, you know the flowers here?",1,,
1228088,[CAR] well describe.,,,
1228089,[CHI] those flowers.,1,,
1228090,[CAR] on a cake?,,,
1228091,[CHI] yep.,1,,
1228092,[CHI] flowers on the back of it.,1,,
1228093,[CHI] I'll show you in a minute.,1,,
1228094,[CAR] right.,,,
1228096,[CAR] let me check if this is working.,,,
1228097,[CAR] and then I'll come sit where the are.,,,
1228098,[CAR] oh now this one's not working.,,,
1228099,[CAR] big problems with both of them haven't we?,,,
1228100,"[CHI] are those flowers here, Mum?",1,,
1228101,[CAR] yes.,,,
1228102,[CAR] oh yes.,,,
1228103,[CAR] it's a picture of a cake.,,,
1228104,[CAR] that looks like a a basket of flowers.,,,
1228105,[CHI] but none on the back.,1,,
1228106,[CHI] those on the back.,1,,
1228107,[CAR] yes.,,,
1228108,[CAR] what's on the back?,,,
1228109,[CAR] oh a little digger.,,,
1228110,[CAR] or a tractor or something is it?,,,
1228111,[CHI] he's a tractor.,1,,
1228112,[CHI] yum yum.,1,,
1228113,[CHI] strawberries.,1,,
1228114,[CHI] that shows you nothing.,1,,
1228116,"[CAR] did you just say something to me, Thomas?",,,
1228117,[CHI] yeah.,1,,
1228118,[CHI] hello.,1,,
